timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Vapor Pressure Deficit [2 m],Basel Soil Moisture [0-7 cm down]
20160101T0000,6.5102453,0.3,97.96794,2.7416782,156.8014,0.18933201,0.379
20160101T0100,6.690245,0.3,95.8207,1.9386592,158.1986,0.39426136,0.383
20160101T0200,6.650245,0.2,94.1005,1.9386592,158.1986,0.555006,0.383
20160101T0300,6.230245,0,95.66642,1.609969,153.43495,0.39603043,0.382
20160101T0400,5.790245,0,97.06169,1.1384199,161.56505,0.26045418,0.381
20160101T0500,4.9102454,0,98.54281,1.2979984,146.30994,0.12148285,0.379
20160101T0600,4.1002455,0,99.431564,1.0182338,135,0.044770718,0.378
20160101T0700,3.7702456,0,99.07311,1.2979984,123.69006,0.07132387,0.377
20160101T0800,3.9102454,0,97.88957,3.4152596,108.434944,0.16400957,0.376
20160101T0900,4.4502454,0,99.15833,3.2599385,96.34019,0.06794262,0.375
20160101T1000,5.3302455,0,97.591064,5.6920996,71.56504,0.20680428,0.374
20160101T1100,6.0702453,0,93.93498,6.9899354,78.11134,0.5481529,0.373
20160101T1200,6.6402454,0,92.02212,9.3876505,94.398705,0.75001717,0.373
20160101T1300,6.9902453,0,89.51397,7.2805495,98.53076,1.0098677,0.372
20160101T1400,6.9902453,0,88.76593,6.87779,96.009,1.0819082,0.371
20160101T1500,6.5602455,0,92.53216,4.2136917,109.9831,0.6982031,0.37
20160101T1600,6.0602455,0,93.21323,5.2416787,105.9454,0.61295986,0.37
20160101T1700,5.2202454,0,94.28123,6.725354,105.5241,0.48719788,0.369
20160101T1800,4.9502454,0,93.66769,9.028754,113.498566,0.5293894,0.368
20160101T1900,5.020245,0,94.60275,9.504272,127.30394,0.4534297,0.368
20160101T2000,4.8902454,0,95.33303,8.404285,136.7357,0.38853025,0.367
20160101T2100,5.0702453,0,95.3422,5.634891,153.43495,0.39267635,0.367
20160101T2200,5.690245,0,89.83628,6.297428,149.03624,0.8946829,0.366
20160101T2300,5.650245,0,90.15039,7.2,126.869896,0.86462593,0.366
20160102T0000,5.270245,0,91.91937,6.6185193,112.380135,0.6908159,0.365
20160102T0100,5.150245,0,92.824356,7.2,126.869896,0.60833406,0.365
20160102T0200,5.170245,0,93.08837,8.287822,145.61966,0.58677006,0.365
20160102T0300,5.3002453,0,93.42605,8.287822,145.61966,0.56318665,0.364
20160102T0400,5.380245,0.2,93.95926,8.14587,135,0.52040005,0.365
20160102T0500,5.480245,0.6,94.49556,7.928177,129.47246,0.4775133,0.37
20160102T0600,5.4302454,1,96.03249,6.9153743,128.6598,0.34298706,0.383
20160102T0700,5.610245,0.4,96.107864,6.3690495,132.70938,0.3407135,0.396
20160102T0800,5.650245,0.6,96.2444,6.4096174,141.84277,0.32967663,0.406
20160102T0900,5.9702454,0.7,96.0564,6.28713,156.37062,0.35395908,0.412
20160102T1000,6.3302455,0.8,96.340164,6.12,151.9275,0.33678055,0.407
20160102T1100,6.8202453,0.7,94.76713,5.506941,168.69006,0.49809456,0.411
20160102T1200,7.110245,0.7,92.957275,5.4119864,176.18593,0.6838751,0.413
20160102T1300,7.5102453,0.7,91.19483,7.42159,194.03624,0.8788042,0.416
20160102T1400,7.650245,0.7,91.269066,10.24578,198.43495,0.8797865,0.417
20160102T1500,7.6002455,0.8,92.09175,10.028439,201.0375,0.7941656,0.42
20160102T1600,7.3702455,0.7,92.71666,8.557102,194.62088,0.7199764,0.42
20160102T1700,7.2602453,0.5,93.16096,8.427383,199.98311,0.6709738,0.419
20160102T1800,7.270245,0.3,92.324326,8.766573,199.17902,0.7535715,0.416
20160102T1900,7.0902452,0,92.6333,8.089993,200.85446,0.71435165,0.412
