location_id,latitude,longitude,band_south,band_north,land_share_of_band
L0000,-52.7942,-71.0655,-60.0,-50.0,0.0015882695946617543
L0001,-51.6663,-58.765,-60.0,-50.0,0.0015882695946617543
L0002,-44.7763,170.8413,-50.0,-40.0,0.007255684863691945
L0003,-45.0848,-72.9113,-50.0,-40.0,0.007255684863691945
L0004,-31.2055,142.366,-40.0,-30.0,0.029653459167907698
L0005,-33.142,-58.9635,-40.0,-30.0,0.029653459167907698
L0006,-37.4023,147.5891,-40.0,-30.0,0.029653459167907698
L0007,-29.2371,120.5234,-30.0,-20.0,0.06899489638483766
L0008,-29.3628,143.9519,-30.0,-20.0,0.06899489638483766
L0009,-29.9281,149.4427,-30.0,-20.0,0.06899489638483766
L0010,-26.3189,120.6852,-30.0,-20.0,0.06899489638483766
L0011,-17.0026,143.4767,-20.0,-10.0,0.07053580576456345
L0012,-11.5112,-46.5476,-20.0,-10.0,0.07053580576456345
L0013,-18.7956,45.4951,-20.0,-10.0,0.07053580576456345
L0014,-19.4379,143.7012,-20.0,-10.0,0.07053580576456345
L0015,-2.3802,99.8405,-10.0,0.0,0.07768095917278015
L0016,-1.4438,103.3026,-10.0,0.0,0.07768095917278015
L0017,-9.3997,-45.5144,-10.0,0.0,0.07768095917278015
L0018,-5.3332,-80.2715,-10.0,0.0,0.07768095917278015
L0019,-6.6757,144.2172,-10.0,0.0,0.07768095917278015
L0020,7.0839,45.4731,0.0,10.0,0.07503301570381789
L0021,8.7486,-62.1199,0.0,10.0,0.07503301570381789
L0022,1.5778,-55.2161,0.0,10.0,0.07503301570381789
L0023,0.6826,-58.205,0.0,10.0,0.07503301570381789
L0024,18.2085,4.4368,10.0,20.0,0.0837561608495066
L0025,11.0278,76.4181,10.0,20.0,0.0837561608495066
L0026,13.1715,29.5271,10.0,20.0,0.0837561608495066
L0027,12.1587,28.4038,10.0,20.0,0.0837561608495066
L0028,18.3858,6.1099,10.0,20.0,0.0837561608495066
L0029,23.5104,24.5581,20.0,30.0,0.11190522483271191
L0030,21.5896,53.3662,20.0,30.0,0.11190522483271191
L0031,22.7047,72.4818,20.0,30.0,0.11190522483271191
L0032,24.6381,45.4063,20.0,30.0,0.11190522483271191
L0033,24.7419,43.7647,20.0,30.0,0.11190522483271191
L0034,25.1595,72.686,20.0,30.0,0.11190522483271191
L0035,38.8549,-109.2948,30.0,40.0,0.11635369489494163
L0036,32.4668,36.1275,30.0,40.0,0.11635369489494163
L0037,37.2453,48.2559,30.0,40.0,0.11635369489494163
L0038,38.3639,43.5469,30.0,40.0,0.11635369489494163
L0039,34.0328,101.8648,30.0,40.0,0.11635369489494163
L0040,36.8206,-110.4566,30.0,40.0,0.11635369489494163
L0041,44.3451,-0.6495,40.0,50.0,0.12188988677953125
L0042,45.0372,85.1921,40.0,50.0,0.12188988677953125
L0043,49.8323,2.191,40.0,50.0,0.12188988677953125
L0044,45.1107,-87.2125,40.0,50.0,0.12188988677953125
L0045,43.6494,133.641,40.0,50.0,0.12188988677953125
L0046,44.8142,44.5507,40.0,50.0,0.12188988677953125
L0047,58.385,-75.6306,50.0,60.0,0.10853581225853913
L0048,51.5965,131.3627,50.0,60.0,0.10853581225853913
L0049,53.3992,-7.352,50.0,60.0,0.10853581225853913
L0050,53.5221,-75.4295,50.0,60.0,0.10853581225853913
L0051,52.3014,-68.6887,50.0,60.0,0.10853581225853913
L0052,66.8794,-88.2141,60.0,70.0,0.09956910868667039
L0053,67.5809,112.0319,60.0,70.0,0.09956910868667039
L0054,63.0437,-145.1132,60.0,70.0,0.09956910868667039
L0055,60.9638,-151.731,60.0,70.0,0.09956910868667039
L0056,62.9724,55.8054,60.0,70.0,0.09956910868667039
L0057,72.9913,128.5725,70.0,80.0,0.02724802104583863
L0058,74.5716,-88.5138,70.0,80.0,0.02724802104583863
L0059,70.6333,-25.7226,70.0,80.0,0.02724802104583863
